reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Therapeutic reaction time decreased,7473,594.477,603.155,516.682,704.1,88310.75,True
Prenatal screening test abnormal,32,417.478,417.504,57.049,3055.458,374.21,True
Cervix carcinoma stage I,19,247.878,247.887,33.183,1851.758,216.96,True
Vascular access site bruising,92,240.05,240.092,97.61,590.559,1048.54,True
Cuffitis,48,208.739,208.758,65.023,670.225,542.19,True
Hypoparathyroidism secondary,16,208.739,208.745,27.682,1574.1,180.73,True
Testicular microlithiasis,26,169.6,169.609,40.255,714.616,289.11,True
Postoperative renal failure,12,156.554,156.558,20.356,1204.067,132.51,True
Intestinal transit time increased,47,153.293,153.306,55.234,425.512,518.02,True
Anastomotic obstruction,10,130.462,130.464,16.7,1019.194,108.48,True
Vascular access site haematoma,19,123.939,123.943,28.869,532.123,204.96,True
Stoma site polyp,7,91.323,91.325,11.236,742.297,72.6,True
Abdominal wall anomaly,14,91.323,91.326,20.755,401.841,145.2,True
Colorectal cancer stage III,27,88.062,88.066,30.815,251.685,278.52,True
Incarcerated parastomal hernia,13,84.8,84.802,19.136,375.798,133.32,True
Anal skin tags,93,80.886,80.901,46.893,139.573,946.55,True
Gastrointestinal anastomotic stenosis,117,76.32,76.337,47.508,122.66,1179.24,True
Culture throat positive,11,71.754,71.756,15.904,323.737,109.66,True
Rectal dysplasia,27,70.449,70.453,27.131,182.949,268.27,True
Infected varicose vein,5,65.231,65.232,7.621,558.368,48.95,True
Intestinal lipomatosis,10,65.231,65.232,14.293,297.723,97.91,True
Adiposis dolorosa,5,65.231,65.232,7.621,558.368,48.95,True
Abdominal hernia obstructive,43,62.332,62.337,30.389,127.87,417.15,True
Rectal tenesmus,520,62.239,62.3,50.677,76.589,5043.08,True
Malignant splenic neoplasm,47,61.317,61.323,30.987,121.355,454.41,True
Post-traumatic headache,14,60.882,60.884,17.496,211.863,135.15,True
Mucous stools,2950,60.135,60.473,55.517,65.872,28404.87,True
Arthritis-dermatitis syndrome,9,58.708,58.709,12.685,271.726,86.21,True
Fallopian tube cyst,31,57.776,57.779,25.443,131.214,295.93,True
Colitis ulcerative,18991,57.339,59.48,57.54,61.486,180985.09,True
Soft tissue inflammation,113,56.701,56.713,37.028,86.863,1074.23,True
Renal perivascular epithelioid cell tumour,38,55.084,55.088,26.638,113.924,358.89,True
Vascular access site pain,105,52.687,52.697,34.302,80.957,981.46,True
Vth nerve injury,8,52.185,52.186,11.082,245.752,74.61,True
Cheilitis granulomatosa,4,52.185,52.185,5.833,466.915,37.3,True
Anorectal sensory loss,4,52.185,52.185,5.833,466.915,37.3,True
Defaecation urgency,4342,50.13,50.545,47.339,53.967,40099.62,True
Gastrointestinal anastomotic complication,15,48.923,48.925,16.237,147.413,137.69,True
Pyelonephritis chronic,37,48.271,48.274,24.007,97.073,338.48,True
Nematodiasis,14,45.662,45.663,15.03,138.727,126.23,True
Catheter site injury,78,42.4,42.406,26.837,67.008,689.08,True
Vascular access site pruritus,13,42.4,42.401,13.825,130.041,114.85,True
Perihepatic discomfort,16,41.748,41.749,15.294,113.964,140.72,True
Post procedural urine leak,21,39.139,39.14,16.639,92.072,181.22,True
Galactostasis,6,39.139,39.139,7.899,193.922,51.78,True
Chronic lymphocytic leukaemia stage 0,3,39.139,39.139,4.071,376.278,25.89,True
Application site macule,6,39.139,39.139,7.899,193.922,51.78,True
Intestinal metaplasia,55,37.765,37.769,22.419,63.629,469.45,True
Rectal discharge,433,37.164,37.195,30.919,44.745,3677.37,True
Intestinal adenocarcinoma,38,35.411,35.414,19.189,65.358,317.75,True
Pouchitis,312,34.495,34.515,27.926,42.659,2586.41,True
Perineal ulceration,26,33.92,33.922,16.358,70.343,214.32,True
Crohn's disease,17242,33.73,34.855,33.879,35.86,141855.2,True
Pus in stool,36,33.547,33.55,18.096,62.201,295.64,True
Abdominal wall neoplasm,5,32.615,32.616,6.328,168.116,40.66,True
Frequent bowel movements,10348,32.197,32.832,31.671,34.036,83776.48,True
